,country,2013,2014,2015,2016,2017,2018,2019,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,D1,D2,D3,D4,E1,E2,E3,F1,F2,F3,F4,G1,G2,G3,G4,Density (persons per sq. km.),Area (sq. km.),Population,Gdp,V2Peedueq Osp,V2X Feduni,V2Xdd Dd,cluster
198,Afghanistan,0,0,0,0,0,1,0,1,0,1,2,2,1,2,1,1,1,2,1,1,2,2,1,1,1,0,0,1,0,1,0,1,53.6,652230,34940837,19484384937.0,0.8640000000000001,0.024,0.0,0
396,Afghanistan,0,0,0,0,1,0,0,1,0,1,2,1,1,2,1,1,0,2,1,1,2,2,1,1,1,0,0,1,0,1,0,1,52.3,652230,34124811,20191760000.0,0.473,0.021,0.0,0
594,Afghanistan,0,0,0,1,0,0,0,1,0,1,2,1,1,2,1,1,0,2,1,1,2,2,1,1,1,0,0,1,0,1,0,1,51.1,652230,33332025,19362642267.0,0.486,0.07400000000000001,0.0,0
793,Afghanistan,0,0,1,0,0,0,0,1,1,1,2,1,1,2,1,1,0,1,1,1,2,2,1,1,1,0,0,1,0,1,0,1,49.9,652230,32564342,19907111419.0,0.99,0.068,0.0,0
992,Afghanistan,0,1,0,0,0,0,0,1,1,1,2,1,1,2,1,1,0,2,1,1,2,2,1,1,1,0,0,1,0,1,1,1,48.8,652230,31822848,20484885120.0,0.99,0.068,0.0,0
1191,Afghanistan,1,0,0,0,0,0,0,1,1,1,2,1,1,2,1,1,0,2,1,1,2,2,2,1,1,0,0,1,0,1,1,1,47.7,652230,31108077,20561069558.0,0.99,0.068,0.0,0
1,Albania,0,0,0,0,0,0,1,3,3,2,3,4,3,3,3,2,2,2,4,3,4,4,3,2,2,2,2,3,3,2,2,2,111.9,27398,3066126,15278077447.0,2.585,0.469,0.0,0
199,Albania,0,0,0,0,0,1,0,3,3,2,3,4,3,3,3,2,2,2,4,3,4,4,3,2,2,2,2,3,3,2,2,2,111.6,27398,3057220,15147020535.0,2.6289999999999996,0.48200000000000004,0.0,0
397,Albania,0,0,0,0,1,0,0,3,3,2,3,4,3,3,3,2,2,2,4,3,4,4,3,2,2,2,2,3,3,2,2,2,111.2,27398,3047987,13019693451.0,2.191,0.485,0.0,0
595,Albania,0,0,0,1,0,0,0,3,3,2,3,4,3,3,3,1,2,2,4,3,4,4,3,2,2,2,2,3,3,2,2,2,110.9,27398,3038594,11861200797.0,2.404,0.494,0.0,0
794,Albania,0,0,1,0,0,0,0,3,3,2,3,4,3,3,3,1,2,2,4,3,4,4,3,2,2,2,2,3,3,2,2,2,110.6,27398,3029278,11386846319.0,2.404,0.494,0.0,0
993,Albania,0,1,0,0,0,0,0,3,3,2,3,4,3,3,3,1,2,2,4,3,4,4,3,2,2,2,2,3,3,2,2,2,110.2,27398,3020209,13228144008.0,2.404,0.493,0.0,0
200,Algeria,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,1,1,2,2,2,2,2,1,17.5,2381740,41657488,174000000000.0,2.983,0.057999999999999996,0.0,0
398,Algeria,0,0,0,0,1,0,0,1,2,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,1,1,1,2,2,2,2,1,17.2,2381740,40969443,167000000000.0,3.181,0.055999999999999994,0.0,0
596,Algeria,0,0,0,1,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,1,1,1,2,2,2,2,1,16.9,2381740,40263711,160000000000.0,3.133,0.09,0.0,0
795,Algeria,0,0,1,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,1,2,1,1,1,2,2,2,2,1,16.6,2381740,39542166,166000000000.0,3.02,0.061,0.0,0
994,Algeria,0,1,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,2,1,16.3,2381740,38813722,214000000000.0,3.02,0.061,0.0,0
1193,Algeria,1,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,2,2,1,1,1,2,2,2,2,1,16.0,2381740,38087812,210000000000.0,3.02,0.06,0.0,0
202,Angola,0,0,0,0,0,1,0,0,2,1,2,1,1,2,1,0,0,1,2,2,2,1,1,1,1,1,0,1,1,1,1,0,24.3,1246700,30355880,101000000000.0,0.794,0.0,0.0,0
400,Angola,0,0,0,0,1,0,0,0,2,1,2,1,1,2,1,0,0,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,23.5,1246700,29310273,122000000000.0,0.794,0.0,0.0,0
598,Angola,0,0,0,1,0,0,0,0,2,1,2,1,1,2,1,0,0,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,22.7,1246700,28289713,101000000000.0,0.66,0.0,0.0,0
797,Angola,0,0,1,0,0,0,0,0,2,1,2,1,1,2,1,0,0,1,2,2,2,1,2,1,1,1,1,1,1,1,1,0,21.9,1246700,27292149,116000000000.0,0.66,0.0,0.0,0
996,Angola,0,1,0,0,0,0,0,0,2,2,2,1,1,2,1,0,0,1,2,2,2,1,2,1,1,1,1,1,1,1,1,0,21.1,1246700,26313499,146000000000.0,0.66,0.0,0.0,0
1195,Angola,1,0,0,0,0,0,0,0,2,2,2,1,1,2,1,0,0,1,3,2,2,1,2,1,1,1,1,1,1,1,1,0,20.3,1246700,25352999,137000000000.0,0.66,0.0,0.0,0
204,Argentina,0,0,0,0,0,1,0,4,4,3,4,3,4,3,3,2,3,3,4,4,4,4,4,3,2,3,2,3,4,3,4,3,16.3,2736690,44694198,520000000000.0,2.762,0.927,0.0,0
402,Argentina,0,0,0,0,1,0,0,4,4,3,4,3,4,3,3,2,3,2,4,4,4,4,4,3,2,3,2,3,4,3,4,3,16.2,2736690,44293293,643000000000.0,2.762,0.929,0.0,0
600,Argentina,0,0,0,1,0,0,0,4,4,3,4,3,4,3,3,1,2,2,4,4,4,4,4,3,2,3,2,3,3,3,4,3,16.0,2736690,43886748,558000000000.0,2.519,0.9390000000000001,0.0,0
799,Argentina,0,0,1,0,0,0,0,4,4,3,4,3,4,3,3,1,2,2,4,4,4,4,4,3,2,3,3,3,3,3,4,3,15.9,2736690,43474726,595000000000.0,2.535,0.9420000000000001,0.0,0
998,Argentina,0,1,0,0,0,0,0,4,4,3,4,3,4,3,3,1,2,2,4,4,4,4,4,3,2,3,3,3,3,3,4,3,15.7,2736690,43057443,526000000000.0,2.53,0.9420000000000001,0.0,0
