Country/Territory,Edition,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,D1,D2,D3,D4,E1,E2,E3,F1,F2,F3,F4,G1,G2,G3,G4
Abkhazia,2013,3,2,2,2,2,2,1,1,1,2,2,2,1,3,2,2,1,1,1,1,1,1,1,2,1
Afghanistan,2013,1,1,1,2,1,1,2,1,1,0,2,1,1,2,2,2,1,1,0,0,1,0,1,1,1
Albania,2013,3,3,2,3,2,2,3,3,1,2,2,4,3,4,3,3,2,2,2,2,3,3,2,2,2
Algeria,2013,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,2,2,1,1,1,2,2,2,2,1
Andorra,2013,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4
Angola,2013,0,2,2,2,1,1,2,1,0,0,1,3,2,2,1,2,1,1,1,1,1,1,1,1,0
Antigua and Barbuda,2013,4,4,3,3,4,3,3,3,2,2,2,4,4,4,3,3,3,3,3,4,3,4,3,3,3
Argentina,2013,4,4,3,4,3,4,3,3,1,2,2,4,4,4,4,4,3,2,3,3,3,4,2,4,3
Armenia,2013,1,2,2,1,1,1,2,1,1,1,1,2,2,3,2,2,2,1,1,2,2,3,2,2,2
Australia,2013,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3
Austria,2013,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3
Azerbaijan,2013,0,0,1,1,0,1,1,1,1,0,0,1,1,2,0,1,1,1,1,1,1,2,2,2,1
Bahamas,2013,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3
Bahrain,2013,0,2,1,1,1,0,0,1,2,0,0,2,0,1,0,1,1,0,1,0,0,1,2,2,1
Bangladesh,2013,3,3,3,3,3,2,3,2,1,2,2,2,2,3,3,2,2,2,1,2,1,3,2,2,2
Barbados,2013,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
Belarus,2013,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,2,1
Belgium,2013,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3
Belize,2013,4,4,4,4,4,4,2,4,3,4,3,4,4,4,3,4,4,3,3,3,3,4,3,3,3
Benin,2013,3,3,2,4,4,4,4,3,2,3,3,4,4,4,4,4,4,3,3,4,3,3,3,2,2
